Epoch,CNN_mae,L_13_mae,L_9_mae,L_5_mae,NFS_mae,CNN_mse,L_13_mse,L_9_mse,L_5_mse,NFS_mse,CNN_msssim,L_13_msssim,L_9_msssim,L_5_msssim,NFS_msssim,CNN_wasserstein,L_13_wasserstein,L_9_wasserstein,L_5_wasserstein,NFS_wasserstein
0,1.14048105478287,1.64395467191935,1.37058988958597,1.77069485187531,1.91737752407789,2.40022096037865,4.60229036211968,3.33881142735481,5.2238290309906,5.92539060115814,0.769543919712305,0.697878751903772,0.739036045968533,0.68782926723361,0.68080173432827,-3.8037542e-06,115.66493,82.112366,44.599384,960.1461
1,1.08800813555718,1.23874586075544,1.21795083582401,1.26187629252672,1.76104807853699,2.20306976139545,2.78910008072853,2.71472677588463,2.86328865587711,5.13691172003746,0.775056313723326,0.749630965292454,0.756334852427244,0.759344428777695,0.691734913736582,1.0098622e-05,95.31125,88.39314,52.158203,692.2853
2,1.06859858334064,1.20638351142406,1.18938226997852,1.19546260684729,1.60347980260849,2.13024239242077,2.65176689624786,2.58309899270535,2.61075387895107,4.44321203231812,0.779597815126181,0.746277824044228,0.751405030488968,0.766890611499548,0.712147429585457,9.2730625e-06,107.5896,81.57147,46.40686,258.89584
3,1.05642972141504,1.17463926970959,1.18761239945889,1.1701353341341,1.32581458240747,2.09353330731392,2.51811611652374,2.56591536104679,2.50471609830856,3.11355447769165,0.782597754150629,0.750019636005163,0.754130829125643,0.769146159291267,0.733336184173822,4.520174e-06,110.26784,77.48194,55.255657,91.81671
4,1.04941605776548,1.16032783687115,1.15716697275639,1.15546328574419,1.27071017026901,2.06781549006701,2.45939455926418,2.44649973511696,2.44795760512352,2.90097929537296,0.783513277769089,0.756460152566433,0.756173007190228,0.769600696861744,0.744054537266493,4.986534e-06,98.06421,74.90326,48.807514,111.96994
5,1.04263564944267,1.15158814936876,1.16067515313625,1.14274793863297,1.22604170441628,2.04600237309933,2.42777909338474,2.46040900051594,2.39411908388138,2.71233232319355,0.783769492059946,0.749499808996916,0.752832975238562,0.769890602678061,0.751540780067444,8.417992e-07,108.24477,80.073814,54.421295,112.8851
6,1.03627294301987,1.14968521893024,1.14737616479397,1.14260975271463,1.19082003086805,2.02102442085743,2.41751120984554,2.41180349886417,2.39127288758755,2.5783499777317,0.789586890488863,0.749120969325304,0.760039787739515,0.77074845507741,0.739602189511061,1.510838e-06,95.61793,75.02621,46.36748,145.62224
7,1.03102135658264,1.1420601978898,1.13810524344444,1.12729125469923,1.30230887234211,2.00502183288336,2.38795831799507,2.369355276227,2.33178476989269,2.97703148424625,0.789618000388145,0.750038310885429,0.757689792662859,0.771703291684389,0.739961218088865,1.7341226e-06,96.34036,76.83326,49.38596,147.27777
8,1.02591548115015,1.1364026889205,1.13966272771359,1.12063819169998,1.24328760802746,1.99166963994503,2.36914716660976,2.37252475321293,2.30435386300087,2.80066622793674,0.794605433940887,0.74797335267067,0.756941389292479,0.771294951438904,0.739889569580555,-2.681627e-06,97.0823,66.95799,56.270374,132.94739
9,1.02479912340641,1.141357883811,1.12917917966843,1.11300379037857,1.1828833296895,1.97784436494112,2.3859056532383,2.3409731388092,2.2798603028059,2.51656818389893,0.79657220095396,0.752193253487349,0.759871505200863,0.771276120096445,0.744219947606325,4.3363543e-06,96.838196,66.13057,54.122086,151.16887
10,1.0178051777184,1.12980913370848,1.12526760995388,1.10182939469814,1.1862853243947,1.9594691246748,2.34159402549267,2.32822205126286,2.24115537106991,2.55244502425194,0.796991650015116,0.747498236596584,0.761375043541193,0.77283288910985,0.743075635284185,3.9916486e-06,84.89271,66.509056,56.45533,125.02458
11,1.016282081604,1.13095819950104,1.12388881295919,1.10774137079716,1.19428107887506,1.95555719733238,2.34207180142403,2.31894432008266,2.25533273816109,2.58406460285187,0.799583494663239,0.750110778957605,0.761728223413229,0.771748870611191,0.743751864880323,-5.355105e-09,87.7007,71.06028,54.92459,145.75174
12,1.01381455734372,1.12880592793226,1.12837639451027,1.09837249666452,1.18758679926395,1.94121516495943,2.33601267635822,2.33900912106037,2.22724018990993,2.57427881658077,0.798273522406817,0.748722713440657,0.762589495629072,0.773324333131313,0.745340149849653,3.0835508e-06,78.80499,60.868614,53.054047,117.040375
13,1.00960080325603,1.13057194650173,1.12146140635014,1.09757587313652,1.20820029824972,1.93027730286121,2.345154941082,2.30794134736061,2.22780628502369,2.66246762871742,0.803796123713255,0.751218091696501,0.758509866893292,0.776557616889477,0.747364316135645,6.430724e-06,76.15091,64.305786,51.26826,108.38815
14,1.00893925130367,1.12218551337719,1.11923786997795,1.09451003372669,1.18594110757113,1.92787581682205,2.31561732292175,2.30150061845779,2.2130424529314,2.58659045398235,0.801802575588226,0.754578862339258,0.760538630187511,0.775311149656773,0.748726416379213,3.8940925e-06,73.08319,67.89288,54.011528,93.47378
15,1.01254374533892,1.1197517812252,1.11236793547869,1.09388521313667,1.13959839195013,1.9297653734684,2.30382826924324,2.27574694156647,2.21392545104027,2.3724423199892,0.800384748727083,0.756579607725143,0.764778900891542,0.779003731906414,0.745898075401783,9.505893e-06,76.467804,63.28131,51.8049,126.4935
16,0.99966049566865,1.11893653869629,1.11249958723784,1.08920124173164,1.15291049331427,1.90156166255474,2.30663199722767,2.28240586817265,2.19524249434471,2.45016984641552,0.80484826117754,0.754775904119015,0.766356557607651,0.777260683476925,0.748706381767988,2.1586893e-06,72.1457,64.11572,52.350727,110.19163
17,0.995493989437818,1.11669162660837,1.1083971709013,1.09155488759279,1.25610668957233,1.88488901406527,2.2996628433466,2.26443853974342,2.20060600340366,2.83002860844135,0.80436859279871,0.752338901162148,0.766852781176567,0.776223443448543,0.741437591612339,1.31364795e-05,66.31061,62.44358,50.097572,106.30281
18,0.99368392676115,1.12029357999563,1.10752584785223,1.08491446077824,1.16816971451044,1.87814851105213,2.3192405551672,2.26372289657593,2.18173590302467,2.48730576038361,0.802186202257872,0.755128137767315,0.769434556365013,0.779611680656672,0.752827771008015,1.0659569e-05,66.00125,55.357224,50.47498,113.44682
19,0.99436791986227,1.11899915337563,1.10637632012367,1.08720104396343,1.14300785958767,1.88873825222254,2.31311988830566,2.25936406850815,2.19074006378651,2.38394166529179,0.808503460139036,0.760356452316046,0.76589772105217,0.780210137367249,0.750567808747292,-3.0193478e-06,62.317738,60.727394,42.79982,113.1769
20,0.988535478711128,1.11198223382235,1.10282836854458,1.08727639913559,1.15105630457401,1.86296930909157,2.29199615120888,2.24545821547508,2.18571925163269,2.41193161904812,0.809121176600456,0.757794678211212,0.767457507550716,0.778936576098204,0.746999353170395,4.987116e-06,58.186974,53.149475,48.90204,130.71402
21,0.986661981791258,1.11394369602203,1.10005059838295,1.08614747226238,1.17340804636478,1.8622439801693,2.30037312209606,2.23492047190666,2.19127587974071,2.54107563197613,0.806867938488722,0.760061383247376,0.76944288238883,0.782867826521397,0.756276402622461,2.2046152e-06,55.220177,55.891006,46.752853,105.84569
22,0.983144756406545,1.1134429872036,1.09875901043415,1.08659890294075,1.19395931810141,1.84625073522329,2.29611679911613,2.23166413605213,2.18324416875839,2.60267753899097,0.809688303619623,0.758160725235939,0.770703829824925,0.781099129468203,0.75409422814846,7.896975e-06,57.24402,57.831455,47.485954,104.76495
23,0.989643137902021,1.10461688041687,1.10348403453827,1.08427502214909,1.21166165173054,1.86925727128983,2.26903636753559,2.2438206076622,2.18111443519592,2.68718619644642,0.810731898993254,0.761769264936447,0.769649501889944,0.784721158444881,0.753152530640364,4.5385677e-06,55.865532,55.922684,43.894722,101.01279
24,0.989024989306927,1.11562643200159,1.0968474149704,1.0826318860054,1.1874488145113,1.861980907619,2.30084769427776,2.21799908578396,2.171979829669,2.58990985155106,0.808573242276907,0.761336345225573,0.772582679986954,0.783085789531469,0.756276156753302,9.621726e-08,56.386215,57.423668,45.337074,113.48958
25,0.987264271825552,1.10654176026583,1.09388925880194,1.08283422142267,1.16009242087603,1.86384411156178,2.26823145151138,2.21186229586601,2.17586205899715,2.46499182283878,0.811129257082939,0.764732852578163,0.772783849388361,0.783447619527578,0.755193069577217,4.537462e-06,55.28323,52.224667,47.54953,85.26164
26,0.976929850876331,1.09854492545128,1.0951671898365,1.07673784345388,1.14186379313469,1.82635346055031,2.24117588996887,2.21994636952877,2.15156139433384,2.38955253362656,0.810793753713369,0.764652658253908,0.774918291717768,0.783533703535795,0.754611399024725,6.921706e-06,58.176483,55.601967,44.49922,104.08209
27,0.978213161230087,1.10308316349983,1.09054155647755,1.07574015855789,1.1602626144886,1.83116821944714,2.26135475933552,2.2065447717905,2.15247401595116,2.48435032367706,0.813157167285681,0.768597837537527,0.773738253861666,0.784355580806732,0.757195960730314,1.7627026e-06,54.86629,51.75655,43.02751,98.4893
28,0.977798562496901,1.0991655215621,1.08889696747065,1.07390770316124,1.14606857299805,1.83262643963099,2.25152382254601,2.19980122148991,2.14641839265823,2.42534962296486,0.813133031129837,0.77219795435667,0.776022348552942,0.788293283432722,0.757522091269493,4.516274e-06,53.147823,50.725506,44.56922,93.75957
29,0.974978718906641,1.10154023766518,1.08991205692291,1.0737888738513,1.15623929351568,1.82056936621666,2.26279640197754,2.20450133085251,2.14891627430916,2.4726545214653,0.812913320958614,0.77160657569766,0.777682788670063,0.786974959075451,0.762288022786379,3.873778e-06,53.69051,51.75206,41.844986,90.69591
30,0.973477225750685,1.10156598687172,1.08711282908916,1.07519087195396,1.20735786855221,1.82068821042776,2.25864616036415,2.19192390143871,2.15300026535988,2.66427990794182,0.814333345741034,0.76973008364439,0.777534257620573,0.789542492479086,0.764746353030205,1.4837133e-06,53.057953,49.94993,42.817,84.765114
31,0.973250918090344,1.09252836555243,1.09591994434595,1.07677439600229,1.17199239134789,1.81246897578239,2.22444382309914,2.22898203134537,2.1496030241251,2.52458764612675,0.814197558909655,0.77087053284049,0.777757614850998,0.788701575249434,0.764491081237793,1.5368743e-05,50.285347,47.469925,43.173706,123.95276
32,0.974113665521145,1.09577865898609,1.08642778545618,1.07351782917976,1.16646672040224,1.8134326711297,2.23461346328259,2.1945258975029,2.14779949188232,2.506163418293,0.816184617578983,0.769064459949732,0.781955935060978,0.787509176880121,0.757626391947269,9.471609e-06,50.414993,49.802277,41.426056,101.04881
33,0.968351531773806,1.10374115407467,1.08214291185141,1.07151979207993,1.15445926785469,1.79943611472845,2.25998355448246,2.17729723453522,2.13771829009056,2.47669890522957,0.815189298242331,0.773461785167456,0.781438983976841,0.789953105151653,0.760950796306133,9.605021e-06,49.989285,47.905815,42.771946,87.34779
34,0.968185722827911,1.08995804190636,1.0836294516921,1.07116858661175,1.1984077244997,1.80083081871271,2.21980179846287,2.1844444423914,2.14075407385826,2.64585784077644,0.81640138104558,0.774536792188883,0.783593561500311,0.787916693836451,0.767095673829317,6.0249004e-06,50.149246,51.134895,39.027855,78.33356
35,0.96785506606102,1.09056125581265,1.08097190409899,1.07265824824572,1.18815451860428,1.79597657173872,2.21509274840355,2.17003172636032,2.14447328448296,2.58869229257107,0.816900547593832,0.774773366749287,0.781274307519197,0.791026901453733,0.769962515681982,1.0077667e-05,51.72982,44.66437,39.27031,97.31506
36,0.969393774867058,1.09686955064535,1.08316845446825,1.06655633449554,1.13922006636858,1.81046836078167,2.24662846326828,2.19194649159908,2.12388901412487,2.3855959624052,0.81611892580986,0.776110917329788,0.779542744159699,0.788453441113234,0.771018542349339,4.2999163e-06,48.65461,46.83902,39.359596,100.38172
37,0.969230398535728,1.08739835768938,1.0797139108181,1.06655430793762,1.18486206233501,1.79604820907116,2.20611932873726,2.16894170641899,2.12711291015148,2.55285921692848,0.817415695637465,0.775493759661913,0.780707847326994,0.790959198027849,0.769594389945269,1.3154349e-05,51.278404,46.848637,38.887497,75.472595
38,0.962282776832581,1.08861762285233,1.07664433121681,1.07060124725103,1.16975504159927,1.78470930457115,2.2125981003046,2.16772185266018,2.1391376554966,2.5185709297657,0.818878948688507,0.776109710335732,0.78303037956357,0.791348550468683,0.774880163371563,5.679205e-06,49.920876,47.410503,38.813934,76.78361
39,0.959185600280762,1.09055311977863,1.08006773144007,1.06497424840927,1.14467433094978,1.76886777579784,2.21466857194901,2.17322812974453,2.11830414831638,2.43886865675449,0.819713924080133,0.778613228350878,0.783105298876762,0.791370190680027,0.772640988230705,8.128292e-06,48.451912,44.551468,38.308327,71.15178
