Epoch,CNN_mae,L_13_mae,L_9_mae,L_5_mae,NFS_mae,CNN_mse,L_13_mse,L_9_mse,L_5_mse,NFS_mse,CNN_msssim,L_13_msssim,L_9_msssim,L_5_msssim,NFS_msssim,CNN_wasserstein,L_13_wasserstein,L_9_wasserstein,L_5_wasserstein,NFS_wasserstein
0,1.45701374858618,2.4306583404541,2.18734608590603,1.86506739258766,2.73448076844215,4.07098504900932,11.0599643588066,8.63992267847061,6.43282559514046,13.4507261514664,0.833983115851879,0.766924344003201,0.749094039201736,0.78709364309907,0.653429344296455,3.2263575e-05,76.562996,60.58863,43.011635,818.414
1,1.38348587602377,1.70145164430141,1.71975345909596,1.61283455789089,2.65773029625416,3.72081516683102,5.34344807267189,5.44746890664101,4.90436968207359,11.7983575463295,0.846406795084477,0.799369487911463,0.812997914850712,0.825914245098829,0.718738473951817,3.096182e-05,81.20669,71.228615,50.601334,808.78516
2,1.34188176691532,1.60453905165195,1.61688892543316,1.55471185594797,1.95392329245806,3.54152366518974,4.76770243048668,4.86890321969986,4.57230839133263,6.93696838617325,0.846511647105217,0.813443221151829,0.82426705211401,0.834816247224808,0.774688545614481,2.2187596e-05,89.75196,79.8653,55.772186,121.65438
3,1.33854589611292,1.57844181358814,1.55638765543699,1.54228427261114,1.70243801921606,3.52067612111568,4.64227774739265,4.53770866990089,4.49042063951492,5.29782608151436,0.849251464009285,0.821770220994949,0.826759174466133,0.843030795454979,0.805026769638062,3.599748e-05,79.25188,76.34326,54.32648,88.0446
4,1.31305717676878,1.54987974464893,1.53167966008186,1.52132651209831,1.62953955680132,3.41690200567245,4.47959426045418,4.41097366809845,4.36124032735825,4.8912747502327,0.848018437623978,0.818616706877947,0.833654765039682,0.839800462126732,0.808332834392786,3.2803044e-05,79.71924,71.4646,51.853115,92.66388
5,1.30947192013264,1.50998371094465,1.49956227838993,1.47921000421047,1.60928382724524,3.40326996147633,4.28160572052002,4.25069212913513,4.16942927241325,4.76546278595924,0.84997234493494,0.827919829636812,0.835416354238987,0.844013456255198,0.81613440439105,2.4254667e-05,82.77299,69.83744,52.8984,95.54544
6,1.28858531266451,1.5010170340538,1.49506610631943,1.45994170755148,1.57501415908337,3.32799778878689,4.23519212007523,4.22701793909073,4.06807553768158,4.62509647011757,0.851840727031231,0.829061675816774,0.83522829413414,0.845217000693083,0.822653722018003,2.8308714e-05,78.22372,70.184395,53.93712,87.33202
7,1.28579752892256,1.50222334265709,1.47912798076868,1.44811197370291,1.51417573541403,3.31982125341892,4.25050061941147,4.14097563922405,4.01965433359146,4.31845533847809,0.856846150010824,0.832339826971293,0.834698230028152,0.845921527594328,0.82679508253932,2.3474218e-05,90.76691,69.59735,51.159977,107.73215
8,1.27951467037201,1.48256385326386,1.46998003870249,1.42962085455656,1.48836381733418,3.28217794001102,4.15758492052555,4.08938640356064,3.93420234322548,4.18655627965927,0.856232687830925,0.835582308471203,0.837506543844938,0.845142256468535,0.823046937584877,3.6204e-05,83.939354,70.51294,50.41137,108.25997
9,1.27531857043505,1.48471315950155,1.46237917244434,1.42936685681343,1.48211482912302,3.26964500546455,4.15852364897728,4.06281132996082,3.91392125189304,4.17718148231506,0.853320732712746,0.838625602424145,0.841042917221785,0.850752379745245,0.823478553444147,3.018789e-05,84.13403,64.993164,51.46836,100.71201
10,1.27071601897478,1.47612762451172,1.45629981905222,1.42319143563509,1.48928560316563,3.23541933298111,4.13187694549561,4.02671539783478,3.88778367638588,4.23163548111916,0.854867305606604,0.842079434543848,0.839844211935997,0.849677462130785,0.83391111344099,2.8568087e-05,78.48884,66.67995,48.395084,95.925476
11,1.25726969540119,1.46987710893154,1.45079743862152,1.41783508658409,1.45951264351606,3.20023018121719,4.08799606561661,4.01275503635407,3.85597442090511,4.04879626631737,0.858412299305201,0.844677090644836,0.846448883414269,0.84855155646801,0.835885915905237,3.2879412e-05,77.56287,60.739872,49.341785,109.46141
12,1.25554306060076,1.46739511936903,1.45473904907703,1.41070547699928,1.44941263645887,3.17946138978004,4.09915493428707,4.01063215732574,3.82657423615456,4.00782877206802,0.861434649676085,0.844228867441416,0.843239054083824,0.853633288294077,0.836825609207153,2.69874e-05,72.56625,64.80955,48.45873,106.19466
13,1.24820806086063,1.46215056627989,1.44719939678907,1.42008443921804,1.46654933691025,3.16159179806709,4.08357954025269,3.99444714188576,3.87352685630322,4.15230014920235,0.8591020219028,0.849321022629738,0.84783086180687,0.852217834442854,0.842186972498894,3.014761e-05,75.8764,60.24235,49.279484,97.214615
14,1.24503323435783,1.46935727447271,1.44143410027027,1.41124121844769,1.44926161319017,3.14283196628094,4.12326565384865,3.98367132246494,3.83270169794559,4.07617583870888,0.857919313013554,0.852721605449915,0.849879145622253,0.858183167874813,0.845579218119383,3.0970434e-05,71.53817,61.57927,50.647026,89.9046
15,1.25236867368221,1.46262442320585,1.43719729781151,1.40566321462393,1.4748907610774,3.17469066381454,4.10495756566525,3.95290547609329,3.80892470479012,4.22495090961456,0.859212934970856,0.854788981378078,0.853059012442827,0.858594905585051,0.851004272699356,2.5179004e-05,67.30328,58.0149,48.960686,91.58868
16,1.24072395265102,1.46002151072025,1.43060893565416,1.40296962857246,1.46681083738804,3.13084660470486,4.09153884649277,3.9327662140131,3.79386122524738,4.17285957932472,0.861314233392477,0.853712044656277,0.853509392589331,0.86009731143713,0.848183732479811,2.285419e-05,66.00723,59.47919,45.642113,87.24442
17,1.24107672274113,1.45053742825985,1.42792603373528,1.40887050330639,1.46873869746923,3.11968846619129,4.05755130946636,3.92768584191799,3.82540352642536,4.16484776139259,0.858770582824945,0.859231229871511,0.857884310185909,0.860492795705795,0.853112291544676,3.2667536e-05,65.87125,58.762184,49.056553,91.70509
18,1.23179887235165,1.45661966502666,1.43297773599625,1.39988320320845,1.51793448626995,3.09270663559437,4.08183157444,3.95730043947697,3.78146687150002,4.48866584897041,0.860537979751825,0.862973541021347,0.85960415750742,0.861629843711853,0.861951015889645,3.1929463e-05,64.66409,55.889374,47.056625,86.89125
19,1.22866947948933,1.45145429670811,1.43151884526014,1.39147301763296,1.44469883292913,3.08355355262756,4.08893068134785,3.94492687284946,3.73266071081161,4.11118450760841,0.860012020915747,0.865446642041206,0.862204562872648,0.862644243985415,0.86119432374835,2.8547132e-05,59.16078,51.52602,45.42798,92.70318
20,1.22986678779125,1.44876931607723,1.42767953127623,1.39375532418489,1.45618079602718,3.09452554583549,4.06466069817543,3.93653374910355,3.75650319457054,4.16287465393543,0.860543712973595,0.862672306597233,0.864239789545536,0.862147774547339,0.862756446003914,3.064284e-05,60.96846,53.16873,46.615776,79.63056
21,1.22523519396782,1.44528997689486,1.42615839838982,1.39256415516138,1.45233032107353,3.08305263519287,4.06826005876064,3.9196480512619,3.75285895168781,4.08379895985127,0.865718111395836,0.864783644676209,0.864705573767424,0.866766102612019,0.864294640719891,2.9142713e-05,57.655357,51.626347,48.49649,92.47093
22,1.22577253729105,1.44678530097008,1.4356769323349,1.38696087896824,1.47065462172031,3.08385691046715,4.06825917959213,3.99088288843632,3.71963495016098,4.20074179768562,0.861096832901239,0.86422124132514,0.867233727127314,0.870488684624434,0.861998219043016,2.2144988e-05,56.442017,47.666695,47.472435,73.59719
23,1.22674480825663,1.44150545448065,1.42354026436806,1.38262402266264,1.52107521891594,3.09602934122086,4.05044858157635,3.91961900889874,3.70793923735619,4.47432169318199,0.868950724601746,0.862752765417099,0.867661722004414,0.868449874222279,0.860737301409245,1.8478604e-05,55.688408,51.30465,46.679077,75.329254
