Epoch,CNN_mae,L_13_mae,L_9_mae,L_5_mae,NFS_mae,CNN_mse,L_13_mse,L_9_mse,L_5_mse,NFS_mse,CNN_msssim,L_13_msssim,L_9_msssim,L_5_msssim,NFS_msssim,CNN_wasserstein,L_13_wasserstein,L_9_wasserstein,L_5_wasserstein,NFS_wasserstein
0,1.45279561728239,1.96027401834726,2.27844558656216,1.88921267539263,2.47971710562706,3.6889860779047,6.80793452262878,10.1341205835342,6.3957953453064,12.0125477313995,0.760749336332083,0.656544763594866,0.615514222532511,0.681876257061958,0.591092295944691,-6.2646577e-06,306.94403,231.49576,173.59279,1094.0095
1,1.41207502782345,1.70828624069691,1.79199094325304,1.66766212880611,2.13740023970604,3.48166081309318,5.06761708855629,5.65599691867828,4.87887600064278,8.18928980827332,0.777828529477119,0.69779809191823,0.676260903477669,0.71772625669837,0.635308429598808,-8.21182e-06,241.25635,186.30116,189.11629,252.98326
2,1.38204224407673,1.64721601456404,1.66571698337793,1.58662933111191,1.88922491669655,3.35519452393055,4.68552526831627,4.82312282919884,4.38222429156303,6.216662555933,0.787106208503246,0.709203507751226,0.709339436143637,0.736019197851419,0.682474665343761,-1.1579134e-05,234.5264,209.3106,184.25449,384.93695
3,1.36287584900856,1.60899555683136,1.63358137756586,1.55877597630024,1.79092839360237,3.2697479724884,4.47112232446671,4.60345017910004,4.21829667687416,5.503308147192,0.795657590031624,0.709682524204254,0.713688280433416,0.738542448729277,0.699853997677565,-1.6748905e-05,254.32819,188.38057,185.16766,390.8124
4,1.34644244611263,1.61160574108362,1.60989022254944,1.55390558391809,1.6790125221014,3.19674445688725,4.47578942775726,4.46255293488503,4.20102727413178,4.84802737832069,0.800621140748262,0.719952072948217,0.715935528278351,0.742578718811274,0.709610749036074,-1.39838085e-05,246.03134,209.83965,161.07498,386.63742
5,1.33720154315233,1.5999707877636,1.58375059068203,1.54336508363485,1.63479682803154,3.1463662981987,4.42363074421883,4.33418023586273,4.13448172807694,4.61176690459251,0.806896138936281,0.71715322509408,0.724354930222034,0.743956629186869,0.714406054466963,-1.8242863e-05,209.23889,213.72966,171.11227,376.918
6,1.32372471690178,1.59146336466074,1.58447697758675,1.53813727200031,1.62901347130537,3.09279018640518,4.40941449999809,4.33738878369331,4.10757052898407,4.55707946419716,0.811539798974991,0.733066186308861,0.733291387557983,0.748735018074513,0.713033605366945,-9.487616e-06,212.1029,195.28331,153.7576,375.22272
7,1.31155516952276,1.58719148486853,1.57375319302082,1.51651550829411,1.5897478684783,3.04026138782501,4.40101137757301,4.30128625035286,3.99918746948242,4.34980118274689,0.815514277666807,0.738398652523756,0.73539499938488,0.756012097001076,0.724811963737011,-1.40070915e-05,197.10562,184.84221,145.84637,386.4722
8,1.30599118024111,1.57815330475569,1.56240137666464,1.52279701083899,1.61302471160889,3.01578606665134,4.33932361006737,4.25696060061455,4.02464337646961,4.44603821635246,0.819268435239792,0.736817207187414,0.741457849740982,0.754081297665834,0.726531717926264,-7.665018e-06,179.2099,179.86783,144.27457,332.1585
9,1.29897686094046,1.56208425015211,1.56431565433741,1.51361340284348,1.60101413726807,2.98091007769108,4.26133826375008,4.29279318451881,3.98499554395676,4.41535586118698,0.822066195309162,0.748302049934864,0.7457135617733,0.760246727615595,0.726498052477837,-8.201576e-06,174.22665,161.48314,137.22638,313.74487
